text,category,char_length,word_count
There is an extra small charge on my card! What do I do?,extra_charge_on_statement,56,13
Where is this card accepted?,card_acceptance,28,5
Why do some of my payments have fees? I don't understand.,card_payment_fee_charged,57,11
Is there a top-up limit?,top_up_limits,24,5
"Do you not accept crypto transfers from certain places? Because when I tried to do a top up the money just disappeared. Im not sure what to do or what I'm doing wrong, please help.",top_up_reverted,180,35
How do I get my card back quickly from a bank machine that it?,card_swallowed,62,14
Where is my card PIN?,get_physical_card,21,5
Explain why a card payment would be cancelled?,reverted_card_payment?,46,8
I am inquiring about why there was an extra fee charged when I used an ATM.,cash_withdrawal_charge,75,16
What currencies do you accept for adding money to my account?,supported_cards_and_currencies,61,11
How is the exchange rate calculated?,exchange_rate,36,6
I have a disposable virtual card. Is there a limit to how many times I can use it?,disposable_card_limits,82,18
totally unacceptable. I'm stranded with no cash because the ATM wouldn't give me any money!,declined_cash_withdrawal,91,15
Where is the top-up card verification code?,verify_top_up,43,7
"Is something wrong with my account, my balance didn't change after I transferred some money",balance_not_updated_after_bank_transfer,91,15
To many charges on my card how do I go about fixing that?,transaction_charged_twice,57,13
Hi i received an error message informing me about the transaction failure. I have done the money transfer before and it never failed. Please let me know what is the issue this time.,beneficiary_not_allowed,181,33
need my details changed,edit_personal_details,23,4
"How long does it typically take a transfer to go through? I sent some money to a friend earlier today, and she really needs it. It still is a pending transfer, even though I sent it a few hours ago.",transfer_not_received_by_recipient,198,40
Is there somewhere I can send a check to add to my account?,top_up_by_cash_or_cheque,59,13
How do I go about transferring money into my bank account?,transfer_into_account,58,11
I've been waiting for over an hour for a top up to go through. How long is this supposed to take? I really need this money.,pending_top_up,123,26
"My PIN got blocked, help.",pin_blocked,25,5
What is needed for my daughter to open an account?,age_limit,50,10
Where can the pin be located?,get_physical_card,29,6
If I want to can I set up a new PIN?,change_pin,36,11
The top-up did not go through.,top_up_failed,30,6
My payment was cancelled,reverted_card_payment?,24,4
I haven't received my card.,card_arrival,27,5
The app is not able to realize that it is me.,unable_to_verify_identity,45,11
How many days until my US transfer arrives?,transfer_timing,43,8
who can put money in my account?,verify_source_of_funds,32,7
"My transfer was wrong, are you able to stop it before it goes through please?",cancel_transfer,77,15
I can't find my code,passcode_forgotten,20,5
What currences are available for exchange?,exchange_via_app,42,6
My cash deposit isn't in my account. What happened?,balance_not_updated_after_cheque_or_cash_deposit,51,9
after i got married i need to change my name,edit_personal_details,44,10
"If my card is going to expire this month, do I need to order a new one?",card_about_to_expire,71,17
I cannot get my google pay to work.,apple_pay_or_google_pay,35,8
How long will it take to transfer from europe?,transfer_timing,46,9
Today I noticed a charge for an ATM withdrawal on my account. Can you please fix this? It's supposed to be no charge.,cash_withdrawal_charge,117,23
A transfer has been made in my account that I need to cancel. This was a mistake on my part and I hope we can get this resolved quickly.,cancel_transfer,136,29
Where can I find an ATM?,atm_support,24,6
I would like to track the card you sent to me.,card_arrival,46,11
"For security purposes, can I ask a few questions?",neutral,49,9
Do you take SWIFT transfers?,top_up_by_bank_transfer_charge,28,5
Your service is bad. Close my account.,terminate_account,38,7
Shouldn't my new card be here by now?,card_arrival,37,8
Can you please help me in canceling my order.,request_refund,45,9
Why do you need so much id info from me?,why_verify_identity,40,10
Why did I get charged one pound seemingly randomly?,extra_charge_on_statement,51,9
My card was refused,declined_card_payment,19,4
Are there any charges for topping up my card?,top_up_by_card_charge,45,9
"My card has an expiration date, will you send a new one automatically?",card_about_to_expire,70,13
How can I receive my salary in another currency?,receiving_money,48,9
My card has been lost / stolen,lost_or_stolen_card,30,7
How can i get new card?,contactless_not_working,23,6
I believe you charged me too much to exchange my money,card_payment_wrong_exchange_rate,54,11
I want a refund for an item,request_refund,27,7
Please tell me which fiat currencies you support.,fiat_currency_support,49,8
I just transferred some money. Why was I charged a fee?,transfer_fee_charged,55,11
At what age can I open an account?,age_limit,34,8
Is there something wrong with the ATM? It would not let me pull cash out of my account.,declined_cash_withdrawal,87,18
"I want to top up my account by a bank transfer, but will I be charged?",top_up_by_bank_transfer_charge,70,16
Can I get an update on my replacement card?,card_arrival,43,9
Is there a reason my new card hasn't arrived yet?,card_arrival,49,10
Do you have the best exchange rate?,exchange_rate,35,7
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,extra_charge_on_statement,146,29
I can't find the auto-top up option.,automatic_top_up,36,7
When I'm traveling is it possible to add money automatically at certain time points?,automatic_top_up,84,14
Can I give a second card for this account to my daughter?,getting_spare_card,57,12
I believe my card has been compromised because of a strange withdrawal,cash_withdrawal_not_recognised,70,12
How come the money from the merchant appeared back into my account?,reverted_card_payment?,67,12
How do I terminate my account.,terminate_account,30,6
Where can I go to find out how to verify my identity?,verify_my_identity,53,12
How do you determine your exchange rates?,exchange_rate,41,7
Which countries are represented?,country_support,32,4
What do I do if I have exceeded all my PIN tries?,pin_blocked,49,12
Am I limited to what ATM I can use my card?,atm_support,43,11
I think I am a victim of fraud. I noticed there was a charge on my account that I didn't do because I haven't touched my card today. Can you please reverse the charge and refund my money?,direct_debit_payment_not_recognised,187,38
who charged my card,transfer_fee_charged,19,4
Do I pay extra for exchange?,exchange_charge,28,6
I'm trying to purchase crypto via the app. I haven't been able to get it to go through. Am I doing something wrong?,beneficiary_not_allowed,115,23
Why hasn't my balance been updated from the check deposit I made?,balance_not_updated_after_cheque_or_cash_deposit,65,12
"When I attempted to make a transfer, it failed.",failed_transfer,47,9
can you tell me where to find the top-up verification code?,verify_top_up,59,11
What apps can I use to top up my account?,top_up_by_cash_or_cheque,41,10
Can I have a tangible form of my virtual card.,order_physical_card,46,10
"I have used all my PIN tries, what now?",pin_blocked,39,9
What can I do about a direct debit transaction on my card that I didn't make?,direct_debit_payment_not_recognised,77,16
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,cancel_transfer,115,22
I got charged a service fee on my account. Can it be waived since I didn't know about it before?,card_payment_fee_charged,96,20
I've forgotten my app passcode completely.,passcode_forgotten,42,6
Estimated time arrival for transfers?,transfer_timing,37,5
"I made a transfer and according to the receiver ""they haven't received the right amount"" Its lesser than it should be.Now I have to transfer more money to make up for the missing amount . Can you please help me about this, what should be done ?",transfer_fee_charged,244,47
"How long do EU transfers actually take? I recently bought something online a few days ago, sent the money immediately online but the seller says it's still not there yet.",pending_transfer,170,30
Are there steps to see where my funds come from?,verify_source_of_funds,48,10
"my balance has not changed, despite depositing a cheque",balance_not_updated_after_cheque_or_cash_deposit,55,9
How do I order a new card when my old one is ready to expire?,card_about_to_expire,61,15
I would like to exchange currency What types are there?,exchange_via_app,55,10
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate,47,10
"I purchased something and already received it, why hasn't the money taken out?",reverted_card_payment?,78,13
limits on top ups,top_up_limits,17,4
I've transferred money into my account but the balance is the same,balance_not_updated_after_bank_transfer,66,12
"There must have been a mistake, why was I charged an extra pound?",extra_charge_on_statement,65,13
Will I be able to top up by cheque?,top_up_by_cash_or_cheque,35,9
I forgot my password to get into the app!,passcode_forgotten,41,9
Are there ways for other people to send me money?,receiving_money,49,10
I requested a refund from a merchant but don't see the money in my account. Are you able to check with the merchant or process the refund manually?,Refund_not_showing_up,147,28
How long will it take for the money to reach my account?,transfer_timing,56,12
I'd like to get another card,getting_spare_card,28,6
please cancel the transaction,cancel_transfer,29,4
Help me cancel a transfer.,cancel_transfer,26,5
Which locations can I withdraw money from?,atm_support,42,7
I am still waiting for a money transfer to process.,pending_transfer,51,10
is the a reason why my transfer has failed?,failed_transfer,43,9
Are money transfers free?,transfer_fee_charged,25,4
how can i add money to my account if you don't accept cash,top_up_by_cash_or_cheque,58,13
My card information seems to have been stolen! I don't know where these transactions came from and I've never even been to the city where they were made. I need my card blocked ASAP so this person can't keep using my card.,compromised_card,222,42
Would I have to pay anything if I need an additional card?,getting_spare_card,58,12
I was given less cash then I wanted.,wrong_amount_of_cash_received,36,8
"I am seeing unathorized transactions in the app, on my account.",cash_withdrawal_not_recognised,63,11
"I have been charged more than I should for the presents I bought when abroad, the problem seems to be the exchange rate.",card_payment_wrong_exchange_rate,120,23
Can you tell me where my funds come from?,verify_source_of_funds,41,9
What is minimum age for an account?,age_limit,35,7
do you have a fee for receiving a SEPA transfer?,top_up_by_bank_transfer_charge,48,10
What type of card can I get?,visa_or_mastercard,28,7
Why did my payment get declined?,declined_transfer,32,6
the exchange rate I got for cash was wrong,wrong_exchange_rate_for_cash_withdrawal,42,9
Can i have a virtual card?,getting_virtual_card,26,6
How can I activate the new card i got?,activate_my_card,38,9
My card still hasn't been delivered,card_arrival,35,6
Why do you need my name and ID,why_verify_identity,30,8
What is the procedure for me to get more cards on my account?,getting_spare_card,61,13
How do I get a spare card?,getting_spare_card,26,7
What are you exchange rates?,exchange_rate,28,5
What do I do if my phone is stolen?,lost_or_stolen_phone,35,9
Why did I get a fee for getting cash?,cash_withdrawal_charge,37,9
It seems that the rate I got is incorrect.,card_payment_wrong_exchange_rate,42,9
I made a cash withdrawal earlier and it's showing as pending. What does that mean?,pending_cash_withdrawal,82,15
My statement has not shown my refund.,Refund_not_showing_up,37,7
Do you have charges now when you pay with a card?,card_payment_fee_charged,49,11
May I get an account for my daughter?,age_limit,37,8
What's the process for topping up my card?,topping_up_by_card,42,8
Can my PIN changed remotely without visiting a bank?,change_pin,52,9
When will my transfer finish pending?,pending_transfer,37,6
why cant you just refund me instead of a merchant,Refund_not_showing_up,49,10
When can I expect the transfer to arrive in my account?,transfer_timing,55,11
Is this open to residents of all countries?,country_support,43,8
what is the cost for exchanging currencies?,exchange_charge,43,7
I wanted to know why my transaction didn't go through.,declined_transfer,54,10
I want to get a virtual card!,getting_virtual_card,29,7
My card won't physically work.,card_not_working,30,5
Is it possible to get a card when i'm not in the UK?,country_support,52,13
"Hi, Today i have withdrawn cash from ATM but i got wrong amount and in the app it is showing much more amount than that.",wrong_amount_of_cash_received,120,25
Send me my card now! ASAP,card_delivery_estimate,25,6
A direct debit payment I didn't do shows in my app,direct_debit_payment_not_recognised,50,11
I can't use the app because I got mugged yesterday and they took everything. Please help.,lost_or_stolen_phone,89,16
My account balance has not updated to reflect my recent transfer.,balance_not_updated_after_bank_transfer,65,11
"Hello, I didn't receive the right amount on my ATM transaction, the app shows the correct amount how can we fix this",wrong_amount_of_cash_received,116,22
Can I use this app to exchange currencies?,exchange_via_app,42,8
"I need a new card to replace an expired one. Will it cost anything, and how soon?",card_about_to_expire,81,17
need to verify source of funds,verify_source_of_funds,30,6
I got charged in double and want a refund,transaction_charged_twice,41,9
"If I bought something I didn't like, can I get a refund?",request_refund,56,12
Salary in GBP has been received. Does it need to be configured into another place?,receiving_money,82,15
I tried withdrawing but my cash is not showing up?,wrong_amount_of_cash_received,50,10
A payment I didn't do shows in my app,card_payment_not_recognised,37,9
"With this app, will I be able to exchange currency?",exchange_via_app,51,10
Why have you declined my card payment?,declined_card_payment,38,7
The exchange rate was different when I got cash,wrong_exchange_rate_for_cash_withdrawal,47,9
If my card is about to expire how long would it take to receive a new one and how much would that cost me?,card_about_to_expire,106,24
I attempted to get cash in the ATM but it was not authorized,declined_cash_withdrawal,60,13
Can I use your app to exchange between USD and GBP,exchange_via_app,50,11
"I no longer want to transfer funds, can we cancel that transaction?",cancel_transfer,67,12
"stolen phone, what should i do",lost_or_stolen_phone,30,6
Is there any type of fee for currency exchange?,exchange_charge,47,9
How can I find your exchange rates?,exchange_rate,35,7
Where did the money transfer go?,transfer_not_received_by_recipient,32,6
How come my refund hasn't appeared on my statement?,Refund_not_showing_up,51,9
The ATM won't let me take out cash,declined_cash_withdrawal,34,8
Tell me what ATMs take this card.,atm_support,33,7
How long does it take to recieve my new card?,card_arrival,45,10
What foreign exchange rate will I get on weekdays and on the weekends?,exchange_rate,70,13
Please explain why my top-up hasn't been processed yet?,pending_top_up,55,9
Someone stole my card!,lost_or_stolen_card,22,4
How often am I able to top-up?,top_up_limits,30,7
What information do I need to see my source of money?,verify_source_of_funds,53,11
How can I tell if an AMT will take this card?,atm_support,45,11
"My card isn't working at all, I need assistance. It's really frustrating.",card_not_working,73,12
Why is it taking so long for a transfer to complete!,transfer_not_received_by_recipient,52,11
My daughter needs an acount.,age_limit,28,5
The top-up is broken.,pending_top_up,21,4
"I was charged extra when I made a cash withdraw, why?",cash_withdrawal_charge,53,11
what are the exchange rates for foreign currency ATMs,wrong_exchange_rate_for_cash_withdrawal,53,9
What form of payments can I use for topping up?,top_up_by_cash_or_cheque,47,10
Why wont the ATM give me cash?,declined_cash_withdrawal,30,7
Is there a transaction limit for a disposable card?,disposable_card_limits,51,9
I do not recognize a direct debit payment that I see on my app,direct_debit_payment_not_recognised,62,14
"I am in desperate need to transfer funds from another account that i have into this one, how do i do that?",transfer_into_account,106,22
"Do you hold money and if so, what currencies do you accept?",fiat_currency_support,59,12
Can I revive a physical card.,order_physical_card,29,6
I want to close my account. The service you provide is unsatisfactory to me.,terminate_account,76,14
Do I have to pay more for exchanges?,exchange_charge,36,8
When will my deposit from this morning show up?,balance_not_updated_after_cheque_or_cash_deposit,47,9
There has been a transfer pending in my account and I wanted to know how long it is going to take to go through.,pending_transfer,112,24
Will be Apple Watch be able to let me top up?,apple_pay_or_google_pay,45,11
I think I deserve a refunded on a certain item.,request_refund,47,10
Why didn't my payment process,pending_card_payment,29,5
Where can I get a physical card?,order_physical_card,32,7
Are there any disposable virtual cards?,get_disposable_virtual_card,39,6
What is your maximum top up limit per day?,top_up_limits,42,9
I did a payment but it was reverted by the app,reverted_card_payment?,46,11
I'm trying to purchase a flat but i need my first payment for my mortgage to go through first. I keep getting an error. I'm not sure what is going on but i need help making this transfer.,failed_transfer,187,38
Am I able to get a refund for a purchase?,request_refund,41,10
How long will a transfer be pending for?,pending_transfer,40,8
I did not ask for the amount of cash that I received.,wrong_amount_of_cash_received,53,12
When do I get my card PIN?,get_physical_card,26,7
I didn't get a PIN yet. What gives?,get_physical_card,35,8
"I sent some money to somebody a couple of hours ago, and they still have yet to receive it. They really need the money, how much longer are they going to have to wait?",transfer_not_received_by_recipient,167,34
what are your exchange rates at?,exchange_rate,32,6
My card hasn't came in the mail yet?,card_arrival,36,8
I would like to know what your exchange rates are.,exchange_rate,50,10
"I was checking the app for my account and I noticed there is an authorized charge on it. I haven't used my card today, so I know I didn't do it. I would like the transaction reversed and the money replaced.",direct_debit_payment_not_recognised,206,41
Do you accept Visa or Mastercard?,visa_or_mastercard,33,6
Can you tell me how long it takes for a new card to come?,card_delivery_estimate,57,14
What is the way to go about getting a virtual card?,getting_virtual_card,51,11
Can I still access the app even though my phone was stolen?,lost_or_stolen_phone,59,12
I tried to make a transfer like five different times. Why won't your system let me? Is it broke?,failed_transfer,96,19
Why is there a fee added to my statement?,extra_charge_on_statement,41,9
please delete account,terminate_account,21,3
How much does it cost for a physical card?,order_physical_card,42,9
Why do we need to verify a top-up card?,verify_top_up,39,9
Why can't my transfer complete?,failed_transfer,31,5
I looked on the app and it says I withdrew cash. I didn't!,cash_withdrawal_not_recognised,58,13
I want to cancel the transaction I made earlier,cancel_transfer,47,9
What do you charge to top up US cards?,top_up_by_card_charge,38,9
There was some money taken from my account that I don't remember paying for. Am I able to look up this transaction which was a few weeks ago to see who took out the money? Im not sure I need a refund just want to check to make sure it's legit.,direct_debit_payment_not_recognised,243,51
If I don't have much money in the account can I auto top-up?,automatic_top_up,60,13
I prefer Mastecard.,visa_or_mastercard,19,3
What is the expected delivery date for my card?,card_arrival,47,9
How much for an actual card?,order_physical_card,28,6
"Hi, I was just checking over my card transactions and notice I was charged twice for a restaurant visit this week. Can you please remove one of these false charges from my account?",transaction_charged_twice,180,33
the exchange rate was different than expected,wrong_exchange_rate_for_cash_withdrawal,45,7
Why do I see a random withdrawal in my app?,cash_withdrawal_not_recognised,43,10
Can I automatically top-up when traveling?,automatic_top_up,42,6
I was trying to top-up and my credit card was declined. Can you tell me why?,top_up_failed,76,16
how soon will my card arrive?,card_delivery_estimate,29,6
Would it be possible to open up an account for children?,age_limit,56,11
Should I complete my security verification before I can use my account?,why_verify_identity,71,12
An incorrect exchange rate was applied to an item I bought.,card_payment_wrong_exchange_rate,59,11
The exchange rate for case abroad is applied wrong.,wrong_exchange_rate_for_cash_withdrawal,51,9
I need to move money from another bank to this account.,transfer_into_account,55,11
My ATM withdrawal was cancelled,declined_cash_withdrawal,31,5
What do you use to figure out the exchange rate for the card?,exchange_rate,61,13
"Would you please unblock my pin? I don't know why, but it's blocked.",pin_blocked,68,13
How can people transfer money to me?,receiving_money,36,7
Do I get any sort of discount on volume for a lot fo currency exchanges?,exchange_charge,72,15
Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.,balance_not_updated_after_cheque_or_cash_deposit,96,19
Why is my money not in my account. I have already sent it out.,balance_not_updated_after_cheque_or_cash_deposit,62,14
"The other bank confirmed a transfer I made, but this account is not reflecting it yet.",balance_not_updated_after_bank_transfer,86,16
can i use my mastercard to add money to my account,supported_cards_and_currencies,50,11
Should my top-up be completed by now?,pending_top_up,37,7
"How long do EU transfers actually take? I bought something online a couple days ago, sent the money immediately online but the seller says it's still not there yet.",pending_transfer,164,29
How do I dispute a debit that I didn't make?,direct_debit_payment_not_recognised,44,10
Why are you asking so many questions about who I am,why_verify_identity,51,11
My app says that I'm not verified.,unable_to_verify_identity,34,7
Can you please assist me in completing a transfer? I'm trying and I keep getting an error. I'm trying to purchase a flat and pay the initial mortgage payment. All I keep getting is an error. Can you find out what's happening here?,failed_transfer,230,43
What is the youngest age for an account?,age_limit,40,8
When do you charge fees on accounts? I just saw a charge on my statement.,card_payment_fee_charged,73,15
I can't find my card! Can you help?,lost_or_stolen_card,35,8
Do I need my phone to use the app?,lost_or_stolen_phone,34,9
Please delete my account now.,terminate_account,29,5
What is the fee for accepting money from a foreign country?,exchange_charge,59,11
"Can you send me a Mastercard, instead of a Visa?",visa_or_mastercard,48,10
I don't have my mobile device and am unable to make the payment because I forgot my details.,lost_or_stolen_phone,92,18
How long do I wait for a transfer to take?,pending_transfer,42,10
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,extra_charge_on_statement,97,19
Can I verify my identity?,verify_my_identity,25,5
I didn't make this payment and it's on my app,card_payment_not_recognised,45,10
Why hasn't payment gone through yet?,pending_card_payment,36,6
Will my money be of equal value when I travel abroad?,exchange_rate,53,11
The refund isn't appearing in my account,Refund_not_showing_up,40,7
Are there limits to businesses that will accept this card?,card_acceptance,58,10
My contactless payments don't work.,contactless_not_working,35,5
I'm noticing a payment/purchase at a company that I don't recognise.,card_payment_not_recognised,68,11
I tried to transfer money but it didn't go through,failed_transfer,50,10
I entered a typo when I was transferring money and now I've sent it to an incorrect account. This is so bad! I need it cancelled now.,cancel_transfer,133,27
Where do I have access to a virtual card?,getting_virtual_card,41,9
I placed a cash deposit in my account but I can't see it yet.,balance_not_updated_after_cheque_or_cash_deposit,61,14
It appears my transfer was declined.,declined_transfer,36,6
Can you tell me where I can withdraw money?,atm_support,43,9
How do I get my money back for something I bought?,request_refund,50,11
"For my account, how do I transfer money in?",transfer_into_account,43,9
It's been a week since I ordered my card and it's not here. Please help?,card_arrival,72,15
What's my pin number?,get_physical_card,21,4
Why can't I see the top up I made?,topping_up_by_card,34,9
Where am I able to get my PIN unblocked?,pin_blocked,40,9
When will my pending payment finish?,pending_card_payment,36,6
At what ATM can I change my PIN?,change_pin,32,8
"I want a disposable virtual card, how do I do that?",get_disposable_virtual_card,51,11
Unable to use my American Express with Apple Pay to top up my account,apple_pay_or_google_pay,69,14
Do I receive the physical card for free,order_physical_card,39,8
I need immediate assistance in canceling a transfer which was a mistake. Please help me quickly so this does not go through.,cancel_transfer,124,22
How long am I to wait before the transfer gets to my account?,transfer_timing,61,13
I see cash in my app but I did not get it.,cash_withdrawal_not_recognised,42,12
Do you charge extra for exchanging currencies?,exchange_charge,46,7
"Someone has copied my card. I have my card with me, but someone just made a 500 cash withdrawal. Please help now.",cash_withdrawal_not_recognised,113,22
Why am I not seeing the check I deposited this morning in my account?,balance_not_updated_after_cheque_or_cash_deposit,69,14
I need to activate my card.,activate_my_card,27,6
What do I need to do to transfer money with my credit card?,topping_up_by_card,59,13
"I thought you offer crypto top up but it doesn't seem to be right ? Money just disappeared from my account, How it would work ?",top_up_reverted,127,26
What fee will be charged for exchanges?,exchange_charge,39,7
Would I be able to top up as much as I can?,top_up_limits,43,12
What do I need to do to get my new card which I have requested 2 weeks ago?,card_arrival,75,18
I would like to return my purchases,request_refund,35,7
How long does it take for pending transfer transactions to post?,pending_transfer,64,11
I think that the card is stolen. What are my next steps?,lost_or_stolen_card,56,12
I have not been able to use this card.,card_not_working,38,9
Why isn't my refund shown on my statement?,Refund_not_showing_up,42,8
I need to know if you will accept my credit card.,supported_cards_and_currencies,49,11
"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long. Can you look into it and see if the money is there, just not in my account yet?",Refund_not_showing_up,212,46
Why is the exchange rate different from what I expected?,card_payment_wrong_exchange_rate,56,10
Who can purchase a disposable virtual card?,get_disposable_virtual_card,43,7
I checked on google and the exchange rate you are using is really bad. Can you update it?,card_payment_wrong_exchange_rate,89,18
My payment is in the app but hasn't gone through yet,pending_card_payment,52,11
What is with the need to have all my ID information?,why_verify_identity,52,11
I can't get a contactless payment to work.,contactless_not_working,42,8
Are there any restrictions on where I use this card?,card_acceptance,52,10
can I top up an apple pay?,apple_pay_or_google_pay,26,7
Why do I get a fee every time I transfer?,transfer_fee_charged,41,10
Why was I not able to get cash from the ATM?,declined_cash_withdrawal,44,11
Where can I have a new bank card sent to China?,card_about_to_expire,47,11
Can I top up for free using a European card?,top_up_by_card_charge,44,10
Where do I order additional cards?,getting_spare_card,34,6
Why would you cancel my transfer?,declined_transfer,33,6
Help! The app has an ATM withdrawl that I didn't make.,cash_withdrawal_not_recognised,54,11
My card is not able to be activated how do I get it to work?,activate_my_card,60,15
How can I verify my top-up card?,verify_top_up,32,7
Are there directions to get a new passcode if I forgot mine?,passcode_forgotten,60,12
Help me unblock my account. I entered the PIN wrong too many times.,pin_blocked,67,13
Remove my account immediately.,terminate_account,30,4
"I travel a lot, can I get a bulk currency exchange discount?",exchange_charge,60,12
The transfer on my account is not showing up.,balance_not_updated_after_bank_transfer,45,9
"There seems to be an additional charge of 1 on my statement, what is the reason for this?",extra_charge_on_statement,89,18
my card was frozen due to putting in the wrong pin too much. how many tries do i have,declined_cash_withdrawal,85,19
"I looked at my statement, and there is a charge for 1 that I don't recognize. Why is it on there?",extra_charge_on_statement,97,21
How old do you need to be to use the banks services?,age_limit,52,12
When will my money be in my account?,transfer_timing,36,8
Where are my funds? I topped off my car but it didn't seem to complete.,pending_top_up,71,15
My top-up didn't work.,top_up_failed,22,4
Can I change my card PIN?,change_pin,25,6
How do you top-up using cash?,top_up_by_cash_or_cheque,29,6
"I requested a refund from a merchant several days ago, but don't see anything showing up in my account yet. Can you check on your end to see if the money has reached you guys?",Refund_not_showing_up,175,35
Can you tell me why I haven't received my new card yet?,card_arrival,55,12
can usa residents get a card?,country_support,29,6
I have an emergency and lost my phone. I need help accessing my account.,lost_or_stolen_phone,72,14
I got cash abroad and the exchange rate applied is wrong,wrong_exchange_rate_for_cash_withdrawal,56,11
Has my top-up gone through?,top_up_reverted,27,5
I want to change the wrong exchange rate.,card_payment_wrong_exchange_rate,41,8
Can I have more physical cards?,getting_spare_card,31,6
"Please help me in this, as i was unable to make any payment by my new card, it was getting declined repeatedly. I am not very happy with this incident.",declined_card_payment,151,30
I believe i was charged for making a withdrawal after i went grocery shopping. Are you guys charging for this now?,cash_withdrawal_charge,114,21
Is there a place to check for fee for payments? I feel like I'm getting charged too much at times.,card_payment_fee_charged,98,20
I punched in the wrong pin too many times and I'm locked out.,pin_blocked,61,13
My virtual card is just not going through.,virtual_card_not_working,42,8
I noticed an extra fee when I paid with my card.,card_payment_fee_charged,48,11
I would like to use one of my cards for a family member. Is that allowed?,getting_spare_card,73,16
I've got to have one of those virtual cards.,getting_virtual_card,44,9
Is there a limit to my top-up?,top_up_limits,30,7
"I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please",balance_not_updated_after_cheque_or_cash_deposit,145,28
How can I sign up for a virtual card?,getting_virtual_card,37,9
"In the app, I see a withdrawal I didn't make.",cash_withdrawal_not_recognised,45,10
You operate in which countries?,country_support,31,5
How long before I can see that my cash withdrawal has taken place?,pending_cash_withdrawal,66,13
Is there a number to call to get my pin unblocked?,pin_blocked,50,11
Currently I can't get my card to work.,card_not_working,38,8
Can I open an account for my children?,age_limit,38,8
What do I do if my top-up has not gone through?,pending_top_up,47,11
I just moved. How do I give you my new address?,edit_personal_details,47,11
I've been waiting for a refund to show up and I don't see it on my statement yet.,Refund_not_showing_up,81,18
Can i get money back in my home currency at ATM? As I am on holiday and bit concerned because i do not have any cash with me . Is it possible to withdraw without any additional cost.,wrong_exchange_rate_for_cash_withdrawal,182,38
For what reason did my top-up fail?,top_up_failed,35,7
Is it possible for me to track the card is was mailed to me?,card_arrival,60,14
What is the time period for money to be transferred?,transfer_timing,52,10
Is there an extra fee to exchange currencies?,exchange_charge,45,8
How can I switch on my new card?,activate_my_card,32,8
Can my salary be received here?,receiving_money,31,6
"I got my American Express in Apple Pay, why is top up not working correctly?",apple_pay_or_google_pay,76,15
How can we correct a mistake on an ATM transaction? The app shows what I should have gotten.,wrong_amount_of_cash_received,92,18
"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",declined_card_payment,170,34
Why has my top up been returned?,top_up_reverted,32,7
